seq,module,level,name,card,type,label,description,label_ja,description_ja,XPath
1100,gl-cor,3,periodCoveredStart,0..1,gl-cor:periodCoveredStartItemType,Period Covered Start,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:periodCoveredStart
1110,gl-cor,3,periodCoveredEnd,0..1,gl-cor:periodCoveredEndItemType,Period Covered End,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:periodCoveredEnd
1120,gl-bus,3,periodCount,0..1,gl-bus:periodCountItemType,Period Count,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:periodCount
1130,gl-bus,3,periodUnit,0..1,gl-bus:periodUnitTypeItemType,Period Unit,Type of periods covered by periodCount,期間単位,periodCountで対象とする期間の種別。\n[設定値のリスト]\n(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) \n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:periodUnit
1140,gl-bus,3,periodUnitDescription,0..1,gl-bus:periodUnitDescriptionItemType,Period Unit Description,Free format description of the period unit,期間単位説明,対象期間単位の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:periodUnitDescription
1150,gl-bus,3,sourceApplication,0..1,gl-bus:sourceApplicationItemType,Source Application,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:sourceApplication
1160,gl-bus,3,targetApplication,0..1,gl-bus:targetApplicationItemType,Target Application,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:targetApplication
1170,gl-muc,3,defaultCurrency,0..1,gl-muc:currencyItemType,Default Currency,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-muc:defaultCurrency
1180,gl-srcd,3,summaryReportingTaxonomies,0..*,gl-srcd:summaryReportingTaxonomiesComplexType,Summary Reporting Taxonomies,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-srcd:summaryReportingTaxonomies
1190,gl-cor,2,entityInformation,0..1,gl-cor:entityInformationComplexType,Entity Information section,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation
1200,gl-bus,3,entityPhoneNumber,0..*,gl-bus:entityPhoneNumberComplexType,Entity Phone Number,Primary phone number of the entity.,【事業体電話番号】,事業体の主要電話番号情報。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityPhoneNumber
1210,gl-bus,4,phoneNumberDescription,0..1,gl-gen:phoneNumberDescriptionItemType,Entity Phone Number Description,"Entity Phone Number Description such as Main, Investor relations.",事業体電話番号説明,代表、IR用などの、事業体の電話番号の説明。\n[設定値のリスト]\n(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityPhoneNumber/gl-bus:phoneNumberDescription
1220,gl-bus,4,phoneNumber,0..1,gl-gen:phoneNumberItemType,Entity Phone Number,Phone number referred to in 'phoneNumberDescription',事業体電話番号,phoneNumberDescriptionで示される電話番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityPhoneNumber/gl-bus:phoneNumber
1230,gl-bus,3,entityFaxNumberStructure,0..*,gl-bus:entityFaxNumberComplexType,Entity Fax Number Structure,Tuple for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityFaxNumberStructure
1240,gl-bus,4,entityFaxNumberUsage,0..1,gl-gen:faxNumberUsageItemType,Entity Fax Number Usage,"Company fax number usage (e.g. orders, head office, IR)",事業体FAX番号用途,事業体のFAX番号の用途。(注文、本社、IRなど)\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityFaxNumberStructure/gl-bus:entityFaxNumberUsage
1250,gl-bus,4,entityFaxNumber,0..1,gl-gen:faxNumberItemType,Entity Fax Number,Company Fax Number,事業体FAX番号,事業体のFAX番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityFaxNumberStructure/gl-bus:entityFaxNumber
1260,gl-bus,3,entityEmailAddressStructure,0..*,gl-bus:entityEmailAddressStructureComplexType,Entity Email Address Structure,Tuple for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityEmailAddressStructure
1270,gl-bus,4,entityEmailAddressUsage,0..1,gl-gen:emailAddressUsageItemType,Entity Email Address Usage,"Company email address usage (e.g. orders, head office, IR)",事業体Eメールアドレス用途,事業体のEメールアドレスの用途。(注文、本社、IRなど)\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityEmailAddressStructure/gl-bus:entityEmailAddressUsage
1280,gl-bus,4,entityEmailAddress,0..1,gl-gen:emailAddressItemType,Entity Email Address,Company Email Address,事業体Eメールアドレス,事業体のEメールアドレス。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityEmailAddressStructure/gl-bus:entityEmailAddress
1290,gl-bus,3,organizationAccountingMethodPurposeDefault,0..1,gl-bus:accountingMethodPurposeItemType,Default Accounting Method Purpose,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAccountingMethodPurposeDefault
1300,gl-bus,3,organizationAccountingMethodPurposeDefaultDescription,0..1,gl-bus:organizationAccountingMethodPurposeDefaultDescriptionItemType,Default Accounting Method Purpose Description,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAccountingMethodPurposeDefaultDescription
1310,gl-bus,3,organizationIdentifiers,0..*,gl-bus:organizationIdentifiersComplexType,Identifiers,Section which contains various identifiers for the company.,【識別子】,組織に関する様々な識別子を含むセクション。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationIdentifiers
1320,gl-bus,4,organizationIdentifier,0..1,gl-bus:organizationIdentifierItemType,Organization Identifier,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationIdentifiers/gl-bus:organizationIdentifier
1330,gl-bus,4,organizationDescription,0..1,gl-bus:organizationDescriptionItemType,Organization Description,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationIdentifiers/gl-bus:organizationDescription
1340,gl-bus,3,organizationAddress,0..*,gl-bus:organizationAddressComplexType,Address,Address structure for the reporting entity,【住所】,報告事業体の住所構造体。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress
1350,gl-bus,4,organizationAddressName,0..1,gl-bus:organizationAddressNameItemType,Address Name,Name of organization used at this address,住所名,この住所で使用される組織の名前。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressName
1360,gl-bus,4,organizationAddressDescription,0..1,gl-bus:organizationAddressDescriptionItemType,Address Description,"Description of the address, such as Mailing, Physical, Investor Relations, etc.",住所説明,住所の説明。郵送先、実体、投資家向けなど。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressDescription
1370,gl-bus,4,organizationAddressPurpose,0..1,gl-bus:organizationAddressPurposeItemType,Address Purpose,"Freeform for codes like shipping, billing, mailing at address level.  Allows identification of multiple purpose addresses for each identifier.",住所目的,配送、請求、郵送のような、住所レベルのコードの自由記述。個々の識別子により、住所の用途を識別する。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressPurpose
1380,gl-bus,4,organizationAddressLocationIdentifier,0..1,gl-bus:locationIdentifierItemType,Location Identifier,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,位置を識別したり、窓口や取引と関係付けるコード。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressLocationIdentifier
1390,gl-bus,4,organizationBuildingNumber,0..1,gl-bus:organizationBuildingNumberItemType,Building Number,Building Number,建物番号,建物番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationBuildingNumber
1400,gl-bus,4,organizationAddressStreet,0..1,gl-bus:organizationAddressStreetItemType,Street,Street address,通り,住所の通り。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressStreet
1410,gl-bus,4,organizationAddressStreet2,0..1,gl-bus:organizationAddressStreet2ItemType,Address Detail,Address Detail,住所詳細,住所詳細。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressStreet2
1420,gl-bus,4,organizationAddressCity,0..1,gl-bus:organizationAddressCityItemType,City,City or town of the address.,都市,住所の都市や町。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressCity
1430,gl-bus,4,organizationAddressStateOrProvince,0..1,gl-bus:organizationAddressStateOrProvinceItemType,State or Province,"State, province or region of the address.",州,住所の州や地方。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressStateOrProvince
1440,gl-bus,4,organizationAddressZipOrPostalCode,0..1,gl-bus:organizationAddressZipOrPostalCodeItemType,Zip or Postal Code,Zip or other postal code of the address.,郵便番号,住所の郵便番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressZipOrPostalCode
1450,gl-bus,4,organizationAddressCountry,0..1,gl-bus:organizationAddressCountryItemType,Country,Country of the address.,国,住所の国。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressCountry
1460,gl-bus,4,organizationAddressActive,0..1,gl-gen:activeItemType,Address Active,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAddress/gl-bus:organizationAddressActive
1470,gl-bus,3,entityWebSite,0..*,gl-bus:entityWebSiteComplexType,Entity Web Site,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityWebSite
1480,gl-bus,4,webSiteDescription,0..1,gl-bus:webSiteDescriptionItemType,Web Site Description,Description of the web site.,Webサイト説明,ウェブサイトの説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityWebSite/gl-bus:webSiteDescription
1490,gl-bus,4,webSiteURL,0..1,gl-bus:webSiteURLItemType,Web Site URL,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:entityWebSite/gl-bus:webSiteURL
1500,gl-bus,3,contactInformation,0..*,gl-bus:contactInformationComplexType,Contact Information,Information about contacts.,【担当者情報】,担当者に関する情報。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation
1510,gl-bus,4,contactPrefix,0..1,gl-bus:contactPrefixItemType,Prefix,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactPrefix
1520,gl-bus,4,contactLastName,0..1,gl-bus:contactLastNameItemType,Last Name,Last or family name,姓,姓,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactLastName
1530,gl-bus,4,contactFirstName,0..1,gl-bus:contactFirstNameItemType,First Name,First or given name,名,名、クリスチャンネーム,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactFirstName
1540,gl-bus,4,contactSuffix,0..1,gl-bus:contactSuffixItemType,Suffix,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactSuffix
1550,gl-bus,4,contactAttentionLine,0..1,gl-bus:contactAttentionLineItemType,Attention Line,Attention Line,アテンションライン,アテンションライン,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactAttentionLine
1560,gl-bus,4,contactPositionRole,0..1,gl-bus:contactPositionRoleItemType,Position/Role,Position or role,地位/役職,地位や役職。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactPositionRole
1570,gl-bus,4,contactPhone,0..*,gl-bus:contactPhoneNumberComplexType,Contact Phone Number,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactPhone
1580,gl-bus,5,contactPhoneNumberDescription,0..1,gl-gen:phoneNumberDescriptionItemType,Contact Phone Number Description,"Contact Phone Number Description such as Main, Investor relations, etc.",担当者電話番号説明,代表、IR用などの、担当者電話番号の説明。\n[設定値のリスト]\n(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactPhone/gl-bus:contactPhoneNumberDescription
1590,gl-bus,5,contactPhoneNumber,0..1,gl-gen:phoneNumberItemType,Contact Phone Number,Contact phone number referred to in the description.,担当者電話番号,説明で示される担当者の電話番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactPhone/gl-bus:contactPhoneNumber
1600,gl-bus,4,contactFax,0..*,gl-bus:contactFaxNumberComplexType,Contact Fax Number Structure,Contact Fax Number Structure,【担当者FAX番号】,担当者のFAX番号の構造体。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactFax
1610,gl-bus,5,contactFaxNumberUsage,0..1,gl-gen:faxNumberUsageItemType,Contact Fax Number Usage,"Contact Fax Number Usage (e.g. orders, head office, IR)",担当者FAX番号用途,担当者のFAX番号の用途。(注文、本社、IRなど),/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactFax/gl-bus:contactFaxNumberUsage
1620,gl-bus,5,contactFaxNumber,0..1,gl-gen:faxNumberItemType,Contact Fax Number,Contact Fax Number,担当者FAX番号,担当者のFAX番号。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactFax/gl-bus:contactFaxNumber
1630,gl-bus,4,contactEMail,0..*,gl-bus:contactEmailAddressStructureComplexType,Contact Email Address Structure,Contact E-mail address structure,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactEMail
1640,gl-bus,5,contactEmailAddressUsage,0..1,gl-gen:emailAddressUsageItemType,Contact Email Address Usage,"Contact email address usage (e.g. orders, head office, IR)",担当者Eメールアドレス用途,担当者のEメールアドレスの用途。(注文、本社、IRなど)\n,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactEMail/gl-bus:contactEmailAddressUsage
1650,gl-bus,5,contactEmailAddress,0..1,gl-gen:emailAddressItemType,Contact Email Address,Contact email address,担当者Eメールアドレス,担当者のEメールアドレス。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactEMail/gl-bus:contactEmailAddress
1660,gl-bus,4,contactType,0..1,gl-bus:contactTypeItemType,Role of Contact,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactType
1670,gl-bus,4,contactLocationIdentifierCrossReference,0..1,gl-bus:locationIdentifierItemType,Location ID cross reference,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactLocationIdentifierCrossReference
1680,gl-bus,4,contactActive,0..1,gl-gen:activeItemType,Contact Active,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:contactInformation/gl-bus:contactActive
1690,gl-bus,3,businessDescription,0..1,gl-bus:businessDescriptionItemType,Business Description,Description of the nature of the business of the entity.,業種説明,事業体の事業の種類についての説明。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:businessDescription
1700,gl-bus,3,fiscalYearStart,0..1,gl-bus:fiscalYearStartItemType,Fiscal Year Start,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearStart
1710,gl-bus,3,fiscalYearEnd,0..1,gl-bus:fiscalYearEndItemType,Fiscal Year End,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearEnd
1720,gl-bus,3,organizationAccountingMethodStructure,0..*,gl-bus:organizationAccountingMethodStructureComplexType,Accounting Method Structure,Section for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationAccountingMethodStructure
