source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
11,en16931,2,A,,Project reference,Identifier,0..1,"Project-defined Project reference in the Invoice context, represented as Identifier.",$.invoice.projectReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""other""][btx_ReferencePurpose=""project""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=other:Document_Type:PASS; btx_ReferencePurpose=project:Reference_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
12,en16931,2,A,,Contract reference,Identifier,0..1,"Project-defined Contract reference in the Invoice context, represented as Identifier.",$.invoice.contractReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""other""][btx_ReferencePurpose=""contract""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=other:Document_Type:PASS; btx_ReferencePurpose=contract:Reference_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
13,en16931,2,A,,Purchase order reference,Identifier,0..1,"Project-defined Purchase order reference in the Invoice context, represented as Identifier.",$.invoice.purchaseOrderReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""order-vendor""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=order-vendor:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
14,en16931,2,A,,Sales order reference,Identifier,0..1,"Project-defined Sales order reference in the Invoice context, represented as Identifier.",$.invoice.salesOrderReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""order-customer""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=order-customer:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
15,en16931,2,A,,Receiving advice reference,Identifier,0..1,"Project-defined Receiving advice reference in the Invoice context, represented as Identifier.",$.invoice.receivingAdviceReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""receipt""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=receipt:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
16,en16931,2,A,,Despatch advice reference,Identifier,0..1,"Project-defined Despatch advice reference in the Invoice context, represented as Identifier.",$.invoice.despatchAdviceReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""shipment""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=shipment:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
17,en16931,2,A,,Tender or lot reference,Identifier,0..1,"Project-defined Tender or lot reference in the Invoice context, represented as Identifier.",$.invoice.tenderOrLotReference,Invoice,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""other""][btx_ReferencePurpose=""tenderOrLot""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=other:Document_Type:PASS; btx_ReferencePurpose=tenderOrLot:Reference_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
18,en16931,2,A,,Invoiced object identifier,Identifier,0..1,"Project-defined Invoiced object identifier in the Invoice context, represented as Identifier.",$.invoice.invoicedObjectIdentifier,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
19,en16931,2,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Invoice context, represented as Identifier.",$.invoice.invoicedObjectIdentifierSchemeIdentifier,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
20,en16931,2,A,,Buyer accounting reference,Text,0..1,"Project-defined Buyer accounting reference in the Invoice context, represented as Text.",$.invoice.buyerAccountingReference,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
21,en16931,2,A,,Payment terms,Text,0..1,"Project-defined Payment terms in the Invoice context, represented as Text.",$.invoice.paymentTerms,Invoice,177,btx,3,A,,Header Payment Terms,String,0..1,Discount/payment terms.,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderPaymentTerms,Transaction_ Header,identity,EXACT,HIGH,,
22,en16931,2,C,,Invoice note,,0..*,"Project-defined Invoice note in the Invoice note context, represented as structured information.",$.invoice.invoiceNote,Invoice note,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
23,en16931,3,A,,Invoice note subject code,Code,0..1,"Project-defined Invoice note subject code in the Invoice note context, represented as Code.",$.invoice.invoiceNote.invoiceNoteSubjectCode,Invoice note,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v15 final review: existing target rejected; separate semantic-model approval is required.
24,en16931,3,A,,Invoice note,Text,1..1,"Project-defined Invoice note in the Invoice note context, represented as Text.",$.invoice.invoiceNote.invoiceNote,Invoice note,468,btx,4,A,,Comment Content,String,0..1,Content of the Rich Text Comment.,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderRichTextComment.btx_CommentContent,Header_ Rich Text Comment,,REVIEW_REQUIRED,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH,v10 current-taxonomy re-review: resolved: HMD-derived repeatable-ancestor propagation is accepted. Not executable because R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred.
25,en16931,2,C,,Process control,,1..1,"Project-defined Process control in the Process control context, represented as structured information.",$.invoice.processControl,Process control,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
26,en16931,3,A,,Business process type,Identifier,0..1,"Project-defined Business process type in the Process control context, represented as Identifier.",$.invoice.processControl.businessProcessType,Process control,464,btx,3,A,,Business Process Type,Identifier,0..1,"Type or context of the business process to which the business transaction belongs; distinct from document type, invoice subtype, and transaction entry type.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_BusinessProcessType,Transaction_ Header,identity,EXACT,HIGH,,
27,en16931,3,A,,Specification identifier,Identifier,1..1,"Project-defined Specification identifier in the Process control context, represented as Identifier.",$.invoice.processControl.specificationIdentifier,Process control,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 231:$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_RegisteredIdentifier.btx_IdentificationScheme (Identification Scheme); 353:$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailIdentifierReference.btx_RegisteredIdentifier.btx_IdentificationScheme (Identification Scheme); 38:$.btx_BusinessTransactions.btx_EntityParty.cor_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierCode (Organization Identifier Code)
28,en16931,2,C,,Preceding invoice reference,,0..*,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as structured information.",$.invoice.precedingInvoiceReference,Preceding invoice reference,155,btx,3,C,,Referenced Document,,0..*,Reference for the document; number assigned to track the document,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""invoice""]",Referenced Document,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
29,en16931,3,A,,Preceding invoice reference,Identifier,1..1,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as Identifier.",$.invoice.precedingInvoiceReference.precedingInvoiceReference,Preceding invoice reference,157,btx,4,A,PK,Document Number,String,0..1,Document number,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""invoice""].btx_DocumentNumber",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=invoice:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
30,en16931,3,A,,Preceding invoice issue date,Date,0..1,"Project-defined Preceding invoice issue date in the Preceding invoice reference context, represented as Date.",$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,Preceding invoice reference,158,btx,4,A,,Document Date,Date,0..1,Document date,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument[btx_DocumentType=""invoice""].btx_DocumentDate",Referenced Document,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_DocumentType=invoice:Document_Type:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
31,en16931,2,C,,Seller,,1..1,"Project-defined Seller in the Seller context, represented as structured information.",$.invoice.seller,Seller,24,btx,2,C,,Entity_ Party,,0..1,Holder for entity information - information about the reporting organization.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""]",Entity_ Party,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
32,en16931,3,A,,Seller name,Text,1..1,"Project-defined Seller name in the Seller context, represented as Text.",$.invoice.seller.sellerName,Seller,25,btx,3,A,,Party Name,String,0..1,Name of the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyName",Entity_ Party,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
33,en16931,3,A,,Seller trading name,Text,0..1,"Project-defined Seller trading name in the Seller context, represented as Text.",$.invoice.seller.sellerTradingName,Seller,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
34,en16931,3,C,,Seller Identifier,,0..*,"Project-defined Seller Identifier in the Seller Identifier context, represented as structured information.",$.invoice.seller.sellerIdentifier,Seller Identifier,178,btx,3,C,,Header_ Identifier Reference,,0..*,"Identification for customer, vendor, or employee.","$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][not(btx_IdentifierPurpose)]",Header_ Identifier Reference,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
35,en16931,4,A,,Identifier,Identifier,1..1,"Project-defined Identifier in the Seller Identifier context, represented as Identifier.",$.invoice.seller.sellerIdentifier.identifier,Seller Identifier,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
36,en16931,4,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Seller Identifier context, represented as Identifier.",$.invoice.seller.sellerIdentifier.schemeIdentifier,Seller Identifier,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][not(btx_IdentifierPurpose)].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,
37,en16931,3,A,,Seller legal registration identifier,Identifier,0..1,"Project-defined Seller legal registration identifier in the Seller context, represented as Identifier.",$.invoice.seller.sellerLegalRegistrationIdentifier,Seller,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
38,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,Seller,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""legalRegistration""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,
39,en16931,3,A,,Seller VAT identifier,Identifier,0..1,"Project-defined Seller VAT identifier in the Seller context, represented as Identifier.",$.invoice.seller.sellerVatIdentifier,Seller,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""VAT""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
40,en16931,3,A,,Seller tax registration identifier,Identifier,0..1,"Project-defined Seller tax registration identifier in the Seller context, represented as Identifier.",$.invoice.seller.sellerTaxRegistrationIdentifier,Seller,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""taxRegistration""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,
41,en16931,3,A,,Seller additional legal information,Text,0..1,"Project-defined Seller additional legal information in the Seller context, represented as Text.",$.invoice.seller.sellerAdditionalLegalInformation,Seller,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
42,en16931,3,A,,Seller electronic address,Identifier,0..1,"Project-defined Seller electronic address in the Seller context, represented as Identifier.",$.invoice.seller.sellerElectronicAddress,Seller,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""electronicAddress""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=vendor:Identifier_Type:PASS; btx_IdentifierPurpose=electronicAddress:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
43,en16931,3,A,,Scheme identifier,Identifier,1..1,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",$.invoice.seller.sellerElectronicAddressSchemeIdentifier,Seller,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""vendor""][btx_IdentifierPurpose=""electronicAddress""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=vendor:Identifier_Type:PASS; btx_IdentifierPurpose=electronicAddress:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
44,en16931,3,C,,Seller postal address,,1..1,"Project-defined Seller postal address in the Seller postal address context, represented as structured information.",$.invoice.seller.sellerPostalAddress,Seller postal address,40,bus,3,C,,Party_ Address,,0..*,Address class for the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""]",Party_ Address,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
45,en16931,4,A,,Seller address line 1,Text,0..1,"Project-defined Seller address line 1 in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerAddressLine1,Seller postal address,46,bus,4,A,,Street,String,0..1,Street address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_Street",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 1 is mapped to target Street with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
46,en16931,4,A,,Seller address line 2,Text,0..1,"Project-defined Seller address line 2 in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerAddressLine2,Seller postal address,47,bus,4,A,,Address Detail,String,0..1,Address Detail,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_AddressDetail",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 2 is mapped to target Address Detail with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
47,en16931,4,A,,Seller address line 3,Text,0..1,"Project-defined Seller address line 3 in the Seller postal address context, represented as Text.",$.invoice.seller.sellerPostalAddress.sellerAddressLine3,Seller postal address,42,bus,4,A,,Description,String,0..1,Address Description,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""seller""].btx_PartyAddress[bus_Purpose=""postal""].bus_Description",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 3 is mapped to target Description with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
