sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
14,0000.0003.0002.0005.0001,2,2,A,,Sales order reference,Identifier,0..1,,"An identifier of a referenced sales order, issued by the Seller.",en16931,Invoice,BT-14,$.invoice.salesOrderReference,,,SalesOrderReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
15,0000.0003.0003.0004.0001,2,2,A,,Receiving advice reference,Identifier,0..1,,An identifier of a referenced receiving advice.,en16931,Invoice,BT-15,$.invoice.receivingAdviceReference,,,ReceivingAdviceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
16,0000.0003.0003.0003.0001,2,2,A,,Despatch advice reference,Identifier,0..1,,An identifier of a referenced despatch advice. The identification of the call for,en16931,Invoice,BT-16,$.invoice.despatchAdviceReference,,,DespatchAdviceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
17,0000.0003.0002.0008.0001,2,2,A,,Tender or lot reference,Identifier,0..1,,"tender or lot the invoice relates to. An identifier for an object on which the invoice is based, given by the Seller. The identification scheme identifier of the Invoiced object identifier. A textual value that specifies where",en16931,Invoice,BT-17,$.invoice.tenderOrLotReference,,,TenderOrLotReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='50']/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
18,0000.0003.0002.0008.0001,2,2,A,,Invoiced object identifier,Identifier,0..1,,"An identifier for an object on which the invoice is based, given by the Seller.",en16931,Invoice,BT-18,$.invoice.invoicedObjectIdentifier,,,InvoicedObjectIdentifier,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
19,0000.0003.0002.0008.0006,2,2,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Invoiced object identifier.,en16931,Invoice,BT-18-1,$.invoice.invoicedObjectIdentifierSchemeIdentifier,,,SchemeIdentifier,ram:ReferenceTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:ReferenceTypeCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
20,0000.0003.0004.0013.0001,2,2,A,,Buyer accounting reference,Text,0..1,,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,en16931,Invoice,BT-19,$.invoice.buyerAccountingReference,,,BuyerAccountingReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
21,0000.0003.0004.0010.0001,2,2,A,,Payment terms,Text,0..1,,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties). A group of business terms providing,en16931,Invoice,BT-20,$.invoice.paymentTerms,,,PaymentTerms,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:Description,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
22,0000.0002.0004,2,2,C,,Invoice note,,0..*,,"textual notes that are relevant for the invoice, together with an indication of the note subject.",en16931,Invoice note,BG-1,$.invoice.invoiceNote,,,InvoiceNote,ram:IncludedNote,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
23,0000.0002.0004.0002,3,3,A,,Invoice note subject code,Code,0..1,,The subject of the textual note in BT-22. A textual note that gives,en16931,Invoice note,BT-21,$.invoice.invoiceNote.invoiceNoteSubjectCode,,,InvoiceNoteSubjectCode,ram:SubjectCode,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
24,0000.0002.0004.0001,3,3,A,,Invoice note,Text,1..1,,unstructured information that is relevant to the Invoice as a whole. A group of business terms providing,en16931,Invoice note,BT-22,$.invoice.invoiceNote.invoiceNote,,,InvoiceNote,ram:Content,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
25,0000.0001,2,2,C,,Process control,,1..1,,information on the business process and rules applicable to the Invoice document. Identifies the business process,en16931,Process control,BG-2,$.invoice.processControl,,,ProcessControl,rsm:ExchangedDocumentContext,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
26,0000.0001.0001.0001,3,3,A,,Business process type,Identifier,0..1,,"context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way. An identification of the specification containing the total set of rules",en16931,Process control,BT-23,$.invoice.processControl.businessProcessType,,,BusinessProcessType,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
27,0000.0001.0002.0001,3,3,A,,Specification identifier,Identifier,1..1,,"regarding semantic content, cardinalities and business rules to",en16931,Process control,BT-24,$.invoice.processControl.specificationIdentifier,,,SpecificationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
28,0000.0003.0004.0012,2,2,C,,Preceding invoice reference,,0..*,,A group of business terms providing information on one or more preceding Invoices.,en16931,Preceding invoice reference,BG-3,$.invoice.precedingInvoiceReference,,,PrecedingInvoiceReference,ram:InvoiceReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
29,0000.0003.0004.0012.0001,3,3,A,,Preceding invoice reference,Identifier,1..1,,The identification of an Invoice that was previously sent by the Seller. The date when the Preceding,en16931,Preceding invoice reference,BT-25,$.invoice.precedingInvoiceReference.precedingInvoiceReference,,,PrecedingInvoiceReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:IssuerAssignedID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
30,0000.0003.0004.0012.0002.0001,3,3,A,,Preceding invoice issue date,Date,0..1,,Invoice was issued.,en16931,Preceding invoice reference,BT-26,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,,,PrecedingInvoiceIssueDate,qdt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
31,0000.0003.0002.0002,2,2,C,,Seller,,1..1,,A group of business terms providing information about the Seller. The full formal name by which the,en16931,Seller,BG-4,$.invoice.seller,,,Seller,ram:SellerTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
32,0000.0003.0002.0002.0003,3,3,A,,Seller name,Text,1..1,,Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons. A name by which the Seller is,en16931,Seller,BT-27,$.invoice.seller.sellerName,,,SellerName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
33,0000.0003.0002.0002.0005.0002,3,3,A,,Seller trading name,Text,0..1,,Name under which the seller trades.,en16931,Seller,BT-28,$.invoice.seller.sellerTradingName,,,SellerTradingName,ram:TradingBusinessName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
37,0000.0003.0002.0002.0005.0001,3,3,A,,Seller legal registration identifier,Identifier,0..1,,registrar that identifies the Seller as a legal entity or person. The identification scheme identifier of the Seller legal registration identifier. The Seller's VAT identifier (also known as Seller VAT identification,en16931,Seller,BT-30,$.invoice.seller.sellerLegalRegistrationIdentifier,,,SellerLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
38,0000.0003.0002.0002.0005.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Seller legal registration identifier.,en16931,Seller,BT-30-1,$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
39,0000.0003.0002.0002.0009.0001,3,3,A,,Seller VAT identifier,Identifier,0..1,,number). The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his,en16931,Seller,BT-31,$.invoice.seller.sellerVatIdentifier,,,SellerVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
40,0000.0003.0002.0002.0009.0001,3,3,A,,Seller tax registration identifier,Identifier,0..1,,registered tax status.,en16931,Seller,BT-32,$.invoice.seller.sellerTaxRegistrationIdentifier,,,SellerTaxRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='FC'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
41,0000.0003.0002.0002.0004,3,3,A,,Seller additional legal information,Text,0..1,,Additional legal information relevant for the Seller.,en16931,Seller,BT-33,$.invoice.seller.sellerAdditionalLegalInformation,,,SellerAdditionalLegalInformation,ram:Description,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
42,0000.0003.0002.0002.0008.0001,3,3,A,,Seller electronic address,Identifier,0..1,,address to which the application level response to the invoice may be delivered. The identification scheme identifier of the Seller electronic address. A group of business terms providing,en16931,Seller,BT-34,$.invoice.seller.sellerElectronicAddress,,,SellerElectronicAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
43,0000.0003.0002.0002.0008.0001@schemeID,3,3,A,,Scheme identifier,Identifier,1..1,,The identification scheme identifier of the Seller electronic address.,en16931,Seller,BT-34-1,$.invoice.seller.sellerElectronicAddressSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
44,0000.0003.0002.0002.0007,3,3,C,,Seller postal address,,1..1,,information about the address of the Seller.,en16931,Seller postal address,BG-5,$.invoice.seller.sellerPostalAddress,,,SellerPostalAddress,ram:PostalTradeAddress,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
45,0000.0003.0002.0002.0007.0002,4,4,A,,Seller address line 1,Text,0..1,,The main address line in an address. An additional address line in an,en16931,Seller postal address,BT-35,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,,,SellerAddressLine1,ram:LineOne,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
46,0000.0003.0002.0002.0007.0003,4,4,A,,Seller address line 2,Text,0..1,,address that can be used to give further details supplementing the main line. An additional address line in an,en16931,Seller postal address,BT-36,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,,,SellerAddressLine2,ram:LineTwo,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
47,0000.0003.0002.0002.0007.0004,4,4,A,,Seller address line 3,Text,0..1,,"address that can be used to give further details supplementing the main line. The common name of the city, town",en16931,Seller postal address,BT-162,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,,,SellerAddressLine3,ram:LineThree,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
48,0000.0003.0002.0002.0007.0005,4,4,A,,Seller city,Text,1..1,,"or village, where the Seller address is located. The identifier for an addressable",en16931,Seller postal address,BT-37,$.invoice.seller.sellerPostalAddress.sellerCity,,,SellerCity,ram:CityName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
49,0000.0003.0002.0002.0007.0001,4,4,A,,Seller post code,Text,1..1,,group of properties according to the relevant postal service.,en16931,Seller postal address,BT-38,$.invoice.seller.sellerPostalAddress.sellerPostCode,,,SellerPostCode,ram:PostcodeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
50,0000.0003.0002.0002.0007.0007,4,4,A,,Seller country subdivision,Text,0..1,,The subdivision of a country.,en16931,Seller postal address,BT-39,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,,,SellerCountrySubdivision,ram:CountrySubDivisionName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
51,0000.0003.0002.0002.0007.0006,4,4,A,,Seller country code,Code,1..1,,A group of business terms providing contact information about the Seller.,en16931,Seller postal address,BT-40,$.invoice.seller.sellerPostalAddress.sellerCountryCode,,,SellerCountryCode,ram:CountryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local D16B XSD correction: CountryID.
52,0000.0003.0002.0002.0006,3,3,C,,Seller contact,,0..1,,A group of business terms providing contact information about the Seller.,en16931,Seller contact,BG-6,$.invoice.seller.sellerContact,,,SellerContact,ram:DefinedTradeContact,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
53,0000.0003.0002.0002.0006.0001,4,4,A,,Seller contact point,Text,0..1,,A contact point for a legal entity or person.,en16931,Seller contact,BT-41,$.invoice.seller.sellerContact.sellerContactPoint,,,SellerContactPoint,ram:PersonName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:PersonName,,,false,CEN STR-5 also allows DepartmentName; PersonName is deterministic forward representation.
54,0000.0003.0002.0002.0006.0003.0001,4,4,A,,Seller contact telephone number,Text,0..1,,A phone number for the contact point.,en16931,Seller contact,BT-42,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,,,SellerContactTelephoneNumber,ram:CompleteNumber,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
55,0000.0003.0002.0002.0006.0004.0001,4,4,A,,Seller contact email address,Text,0..1,,A group of business terms providing information about the Buyer.,en16931,Seller contact,BT-43,$.invoice.seller.sellerContact.sellerContactEmailAddress,,,SellerContactEmailAddress,ram:URIID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
56,0000.0003.0002.0003,2,2,C,,Buyer,,1..1,,Buyer party information.,en16931,Buyer,BG-7,$.invoice.buyer,,,Buyer,ram:BuyerTradeParty,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
57,0000.0003.0002.0003.0003,3,3,A,,Buyer name,Text,1..1,,The full name of the Buyer. A name by which the Buyer is,en16931,Buyer,BT-44,$.invoice.buyer.buyerName,,,BuyerName,ram:Name,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
58,0000.0003.0002.0003.0004.0002,3,3,A,,Buyer trading name,Text,0..1,,"known, other than Buyer name (also known as Business name). An identifier of the Buyer.",en16931,Buyer,BT-45,$.invoice.buyer.buyerTradingName,,,BuyerTradingName,ram:TradingBusinessName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
62,0000.0003.0002.0003.0004.0001,3,3,A,,Buyer legal registration identifier,Identifier,0..1,,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person. The identification scheme identifier of the Buyer legal registration identifier.,en16931,Buyer,BT-47,$.invoice.buyer.buyerLegalRegistrationIdentifier,,,BuyerLegalRegistrationIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
63,0000.0003.0002.0003.0004.0001@schemeID,3,3,A,,Scheme identifier,Identifier,0..1,,The identification scheme identifier of the Buyer legal registration identifier.,en16931,Buyer,BT-47-1,$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,,,SchemeIdentifier,@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
64,0000.0003.0002.0003.0008.0001,3,3,A,,Buyer VAT identifier,Identifier,0..1,,The Buyer's VAT identifier (also known as Buyer VAT identification number). Identifies the Buyer's electronic,en16931,Buyer,BT-48,$.invoice.buyer.buyerVatIdentifier,,,BuyerVatIdentifier,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
