sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
15,2,A,BT-15,Receiving advice reference,Identifier,0..1,$.invoice.receivingAdviceReference,0000.0003.0003.0011.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ReceivingAdviceReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
16,2,A,BT-16,Despatch advice reference,Identifier,0..1,$.invoice.despatchAdviceReference,0000.0003.0003.0010.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:DespatchAdviceReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
17,2,A,BT-17,Tender or lot reference,Identifier,0..1,$.invoice.tenderOrLotReference,0000.0003.0002.0022.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='50']/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
18,2,A,BT-18,Invoiced object identifier,Identifier,0..1,$.invoice.invoicedObjectIdentifier,0000.0003.0002.0022.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
19,2,A,BT-18-1,Scheme identifier,Identifier,0..1,$.invoice.invoicedObjectIdentifierSchemeIdentifier,0000.0003.0002.0022.0012,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='130']/ram:ReferenceTypeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
20,2,A,BT-19,Buyer accounting reference,Text,0..1,$.invoice.buyerAccountingReference,0000.0003.0004.0037.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
21,2,A,BT-20,Payment terms,Text,0..1,$.invoice.paymentTerms,0000.0003.0004.0028.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:Description,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
22,2,C,BG-1,Invoice note,,0..*,$.invoice.invoiceNote,0000.0002.0016,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote,,,,CII D16B reversible occurrence context.
23,3,A,BT-21,Invoice note subject code,Code,0..1,$.invoice.invoiceNote.invoiceNoteSubjectCode,0000.0002.0016.0004,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
24,3,A,BT-22,Invoice note,Text,1..1,$.invoice.invoiceNote.invoiceNote,0000.0002.0016.0003,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
25,2,C,BG-2,Process control,,1..1,$.invoice.processControl,0000.0001,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,,,,CII D16B reversible occurrence context.
26,3,A,BT-23,Business process type,Identifier,0..1,$.invoice.processControl.businessProcessType,0000.0001.0003.0001,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
27,3,A,BT-24,Specification identifier,Identifier,1..1,$.invoice.processControl.specificationIdentifier,0000.0001.0007.0001,/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
28,2,C,BG-3,Preceding invoice reference,,0..*,$.invoice.precedingInvoiceReference,0000.0003.0004.0031,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument,,,,CII D16B reversible occurrence context.
29,3,A,BT-25,Preceding invoice reference,Identifier,1..1,$.invoice.precedingInvoiceReference.precedingInvoiceReference,0000.0003.0004.0031.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
30,3,A,BT-26,Preceding invoice issue date,Date,0..1,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,0000.0003.0004.0031.0015.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceReferencedDocument/ram:FormattedIssueDateTime/qdt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
31,2,C,BG-4,Seller,,1..1,$.invoice.seller,0000.0003.0002.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty,,,,CII D16B reversible occurrence context.
32,3,A,BT-27,Seller name,Text,1..1,$.invoice.seller.sellerName,0000.0003.0002.0003.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
33,3,A,BT-28,Seller trading name,Text,0..1,$.invoice.seller.sellerTradingName,0000.0003.0002.0003.0006.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
34,3,C,,Seller Identifier,,0..*,$.invoice.seller.sellerIdentifier[schemeIdentifier],0000.0003.0002.0003.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID,,,,Class-level syntax alias; canonical identity is the selector-stripped semantic_path.
34,3,C,,Seller Identifier,,0..*,$.invoice.seller.sellerIdentifier[not(schemeIdentifier)],0000.0003.0002.0003.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID,,,,Class-level syntax alias; canonical identity is the selector-stripped semantic_path.
35,4,A,BT-29,Identifier,Identifier,1..1,$.invoice.seller.sellerIdentifier[schemeIdentifier].identifier,0000.0003.0002.0003.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID,,,,Same-BT Attribute alias anchored to the selected technical Class occurrence.
35,4,A,BT-29,Identifier,Identifier,1..1,$.invoice.seller.sellerIdentifier[not(schemeIdentifier)].identifier,0000.0003.0002.0003.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID,,,,Same-BT Attribute alias anchored to the selected technical Class occurrence.
36,4,A,BT-29-1,Scheme identifier,Identifier,0..1,$.invoice.seller.sellerIdentifier.schemeIdentifier,0000.0003.0002.0003.0002.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
37,3,A,BT-30,Seller legal registration identifier,Identifier,0..1,$.invoice.seller.sellerLegalRegistrationIdentifier,0000.0003.0002.0003.0006.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
38,3,A,BT-30-1,Scheme identifier,Identifier,0..1,$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,0000.0003.0002.0003.0006.0003.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
39,3,A,BT-31,Seller VAT identifier,Identifier,0..1,$.invoice.seller.sellerVatIdentifier,0000.0003.0002.0003.0010.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
40,3,A,BT-32,Seller tax registration identifier,Identifier,0..1,$.invoice.seller.sellerTaxRegistrationIdentifier,0000.0003.0002.0003.0010.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='FC'],,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
41,3,A,BT-33,Seller additional legal information,Text,0..1,$.invoice.seller.sellerAdditionalLegalInformation,0000.0003.0002.0003.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
42,3,A,BT-34,Seller electronic address,Identifier,0..1,$.invoice.seller.sellerElectronicAddress,0000.0003.0002.0003.0009.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
43,3,A,BT-34-1,Scheme identifier,Identifier,1..1,$.invoice.seller.sellerElectronicAddressSchemeIdentifier,0000.0003.0002.0003.0009.0001.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
44,3,C,BG-5,Seller postal address,,1..1,$.invoice.seller.sellerPostalAddress,0000.0003.0002.0003.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress,,,,CII D16B reversible occurrence context.
45,4,A,BT-35,Seller address line 1,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,0000.0003.0002.0003.0008.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
46,4,A,BT-36,Seller address line 2,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,0000.0003.0002.0003.0008.0006,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
47,4,A,BT-162,Seller address line 3,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,0000.0003.0002.0003.0008.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:LineThree,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
48,4,A,BT-37,Seller city,Text,1..1,$.invoice.seller.sellerPostalAddress.sellerCity,0000.0003.0002.0003.0008.0011,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CityName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
49,4,A,BT-38,Seller post code,Text,1..1,$.invoice.seller.sellerPostalAddress.sellerPostCode,0000.0003.0002.0003.0008.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
50,4,A,BT-39,Seller country subdivision,Text,0..1,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,0000.0003.0002.0003.0008.0016,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
51,4,A,BT-40,Seller country code,Code,1..1,$.invoice.seller.sellerPostalAddress.sellerCountryCode,0000.0003.0002.0003.0008.0013,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:PostalTradeAddress/ram:CountryID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
52,3,C,BG-6,Seller contact,,0..1,$.invoice.seller.sellerContact,0000.0003.0002.0003.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact,,,,CII D16B reversible occurrence context.
53,4,A,BT-41,Seller contact point,Text,0..1,$.invoice.seller.sellerContact.sellerContactPoint,0000.0003.0002.0003.0007.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:DepartmentName,,,,DepartmentName selected; PersonName remains a future syntax alternative.
54,4,A,BT-42,Seller contact telephone number,Text,0..1,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,0000.0003.0002.0003.0007.0008.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
55,4,A,BT-43,Seller contact email address,Text,0..1,$.invoice.seller.sellerContact.sellerContactEmailAddress,0000.0003.0002.0003.0007.0012.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
56,2,C,BG-7,Buyer,,1..1,$.invoice.buyer,0000.0003.0002.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty,,,,CII D16B reversible occurrence context.
57,3,A,BT-44,Buyer name,Text,1..1,$.invoice.buyer.buyerName,0000.0003.0002.0004.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
58,3,A,BT-45,Buyer trading name,Text,0..1,$.invoice.buyer.buyerTradingName,0000.0003.0002.0004.0006.0004,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
59,3,C,,Buyer Identifier,,0..*,$.invoice.buyer.buyerIdentifier[schemeIdentifier],0000.0003.0002.0004.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID,,,,Class-level syntax alias; canonical identity is the selector-stripped semantic_path.
59,3,C,,Buyer Identifier,,0..*,$.invoice.buyer.buyerIdentifier[not(schemeIdentifier)],0000.0003.0002.0004.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID,,,,Class-level syntax alias; canonical identity is the selector-stripped semantic_path.
60,4,A,BT-46,Identifier,Identifier,1..1,$.invoice.buyer.buyerIdentifier[schemeIdentifier].identifier,0000.0003.0002.0004.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID,,,,Same-BT Attribute alias anchored to the selected technical Class occurrence.
60,4,A,BT-46,Identifier,Identifier,1..1,$.invoice.buyer.buyerIdentifier[not(schemeIdentifier)].identifier,0000.0003.0002.0004.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID,,,,Same-BT Attribute alias anchored to the selected technical Class occurrence.
61,4,A,BT-46-1,Scheme identifier,Identifier,0..1,$.invoice.buyer.buyerIdentifier.schemeIdentifier,0000.0003.0002.0004.0002.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:GlobalID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
62,3,A,BT-47,Buyer legal registration identifier,Identifier,0..1,$.invoice.buyer.buyerLegalRegistrationIdentifier,0000.0003.0002.0004.0006.0003,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
63,3,A,BT-47-1,Scheme identifier,Identifier,0..1,$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,0000.0003.0002.0004.0006.0003.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
64,3,A,BT-48,Buyer VAT identifier,Identifier,0..1,$.invoice.buyer.buyerVatIdentifier,0000.0003.0002.0004.0010.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Literal syntax discriminator(s) in syntax_path are executable binding metadata and shall be materialized during reverse serialization.
65,3,A,BT-49,Buyer electronic address,Identifier,0..1,$.invoice.buyer.buyerElectronicAddress,0000.0003.0002.0004.0009.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
66,3,A,BT-49-1,Scheme identifier,Identifier,1..1,$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,0000.0003.0002.0004.0009.0001.@schemeID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID/@schemeID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Supplementary component remains HMD type=A.
67,3,C,BG-8,Buyer postal address,,1..1,$.invoice.buyer.buyerPostalAddress,0000.0003.0002.0004.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress,,,,CII D16B reversible occurrence context.
68,4,A,BT-50,Buyer address line 1,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,0000.0003.0002.0004.0008.0005,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
69,4,A,BT-51,Buyer address line 2,Text,0..1,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,0000.0003.0002.0004.0008.0006,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
