sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
14,en16931,2,A,,Sales order reference,Identifier,0..1,,"Project-defined Sales order reference in the Invoice context, represented as Identifier.",,,BT-14,$.invoice.salesOrderReference,,Invoice,SalesOrderReference,/xbrli:xbrl/en:Invoice/en:SalesOrderReference
15,en16931,2,A,,Receiving advice reference,Identifier,0..1,,"Project-defined Receiving advice reference in the Invoice context, represented as Identifier.",,,BT-15,$.invoice.receivingAdviceReference,,Invoice,ReceivingAdviceReference,/xbrli:xbrl/en:Invoice/en:ReceivingAdviceReference
16,en16931,2,A,,Despatch advice reference,Identifier,0..1,,"Project-defined Despatch advice reference in the Invoice context, represented as Identifier.",,,BT-16,$.invoice.despatchAdviceReference,,Invoice,DespatchAdviceReference,/xbrli:xbrl/en:Invoice/en:DespatchAdviceReference
17,en16931,2,A,,Tender or lot reference,Identifier,0..1,,"Project-defined Tender or lot reference in the Invoice context, represented as Identifier.",,,BT-17,$.invoice.tenderOrLotReference,,Invoice,TenderOrLotReference,/xbrli:xbrl/en:Invoice/en:TenderOrLotReference
18,en16931,2,A,,Invoiced object identifier,Identifier,0..1,,"Project-defined Invoiced object identifier in the Invoice context, represented as Identifier.",,,BT-18,$.invoice.invoicedObjectIdentifier,,Invoice,InvoicedObjectIdentifier,/xbrli:xbrl/en:Invoice/en:InvoicedObjectIdentifier
19,en16931,2,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Invoice context, represented as Identifier.",識別スキーム識別子,請求対象オブジェクト識別子に使用される識別スキームを示す識別子。,BT-18-1,$.invoice.invoicedObjectIdentifierSchemeIdentifier,,Invoice,InvoicedObjectIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:InvoicedObjectIdentifierSchemeIdentifier
20,en16931,2,A,,Buyer accounting reference,Text,0..1,,"Project-defined Buyer accounting reference in the Invoice context, represented as Text.",,,BT-19,$.invoice.buyerAccountingReference,,Invoice,BuyerAccountingReference,/xbrli:xbrl/en:Invoice/en:BuyerAccountingReference
21,en16931,2,A,,Payment terms,Text,0..1,,"Project-defined Payment terms in the Invoice context, represented as Text.",,,BT-20,$.invoice.paymentTerms,,Invoice,PaymentTerms,/xbrli:xbrl/en:Invoice/en:PaymentTerms
22,en16931,2,C,,Invoice note,,0..*,,"Project-defined Invoice note in the Invoice note context, represented as structured information.",,,BG-1,$.invoice.invoiceNote,,Invoice note,InvoiceInvoiceNote,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote
23,en16931,3,A,,Invoice note subject code,Code,0..1,,"Project-defined Invoice note subject code in the Invoice note context, represented as Code.",,,BT-21,$.invoice.invoiceNote.invoiceNoteSubjectCode,,Invoice note,InvoiceNoteSubjectCode,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote/en:InvoiceNoteSubjectCode
24,en16931,3,A,,Invoice note,Text,1..1,,"Project-defined Invoice note in the Invoice note context, represented as Text.",,,BT-22,$.invoice.invoiceNote.invoiceNote,,Invoice note,InvoiceNoteInvoiceNote,/xbrli:xbrl/en:Invoice/en:InvoiceInvoiceNote/en:InvoiceNoteInvoiceNote
25,en16931,2,C,,Process control,,1..1,,"Project-defined Process control in the Process control context, represented as structured information.",,,BG-2,$.invoice.processControl,,Process control,ProcessControl,/xbrli:xbrl/en:Invoice/en:ProcessControl
26,en16931,3,A,,Business process type,Identifier,0..1,,"Project-defined Business process type in the Process control context, represented as Identifier.",,,BT-23,$.invoice.processControl.businessProcessType,,Process control,BusinessProcessType,/xbrli:xbrl/en:Invoice/en:ProcessControl/en:BusinessProcessType
27,en16931,3,A,,Specification identifier,Identifier,1..1,,"Project-defined Specification identifier in the Process control context, represented as Identifier.",,,BT-24,$.invoice.processControl.specificationIdentifier,,Process control,SpecificationIdentifier,/xbrli:xbrl/en:Invoice/en:ProcessControl/en:SpecificationIdentifier
28,en16931,2,C,,Preceding invoice reference,,0..*,,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as structured information.",,,BG-3,$.invoice.precedingInvoiceReference,,Preceding invoice reference,InvoicePrecedingInvoiceReference,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference
29,en16931,3,A,,Preceding invoice reference,Identifier,1..1,,"Project-defined Preceding invoice reference in the Preceding invoice reference context, represented as Identifier.",,,BT-25,$.invoice.precedingInvoiceReference.precedingInvoiceReference,,Preceding invoice reference,PrecedingInvoiceReferencePrecedingInvoiceReference,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference/en:PrecedingInvoiceReferencePrecedingInvoiceReference
30,en16931,3,A,,Preceding invoice issue date,Date,0..1,,"Project-defined Preceding invoice issue date in the Preceding invoice reference context, represented as Date.",,,BT-26,$.invoice.precedingInvoiceReference.precedingInvoiceIssueDate,,Preceding invoice reference,PrecedingInvoiceIssueDate,/xbrli:xbrl/en:Invoice/en:InvoicePrecedingInvoiceReference/en:PrecedingInvoiceIssueDate
31,en16931,2,C,,Seller,,1..1,,"Project-defined Seller in the Seller context, represented as structured information.",,,BG-4,$.invoice.seller,,Seller,Seller,/xbrli:xbrl/en:Invoice/en:Seller
32,en16931,3,A,,Seller name,Text,1..1,,"Project-defined Seller name in the Seller context, represented as Text.",,,BT-27,$.invoice.seller.sellerName,,Seller,SellerName,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerName
33,en16931,3,A,,Seller trading name,Text,0..1,,"Project-defined Seller trading name in the Seller context, represented as Text.",,,BT-28,$.invoice.seller.sellerTradingName,,Seller,SellerTradingName,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerTradingName
34,en16931,3,C,,Seller Identifier,,0..*,,"Project-defined Seller Identifier in the Seller Identifier context, represented as structured information.",,,,$.invoice.seller.sellerIdentifier,,Seller Identifier,SellerIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerIdentifier
35,en16931,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Seller Identifier context, represented as Identifier.",sellerIdentifier,,BT-29,$.invoice.seller.sellerIdentifier.identifier,,Seller Identifier,SellerIdentifierIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerIdentifier/en:SellerIdentifierIdentifier
36,en16931,4,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Seller Identifier context, represented as Identifier.",識別スキーム識別子,売手識別子に使用される識別スキームを示す識別子。,BT-29-1,$.invoice.seller.sellerIdentifier.schemeIdentifier,,Seller Identifier,SellerIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerIdentifier/en:SellerIdentifierSchemeIdentifier
37,en16931,3,A,,Seller legal registration identifier,Identifier,0..1,,"Project-defined Seller legal registration identifier in the Seller context, represented as Identifier.",,,BT-30,$.invoice.seller.sellerLegalRegistrationIdentifier,,Seller,SellerLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerLegalRegistrationIdentifier
38,en16931,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",識別スキーム識別子,売手法的登録識別子に使用される識別スキームを示す識別子。,BT-30-1,$.invoice.seller.sellerLegalRegistrationIdentifierSchemeIdentifier,,Seller,SellerLegalRegistrationIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerLegalRegistrationIdentifierSchemeIdentifier
39,en16931,3,A,,Seller VAT identifier,Identifier,0..1,,"Project-defined Seller VAT identifier in the Seller context, represented as Identifier.",,,BT-31,$.invoice.seller.sellerVatIdentifier,,Seller,SellerVatIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerVatIdentifier
40,en16931,3,A,,Seller tax registration identifier,Identifier,0..1,,"Project-defined Seller tax registration identifier in the Seller context, represented as Identifier.",,,BT-32,$.invoice.seller.sellerTaxRegistrationIdentifier,,Seller,SellerTaxRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerTaxRegistrationIdentifier
41,en16931,3,A,,Seller additional legal information,Text,0..1,,"Project-defined Seller additional legal information in the Seller context, represented as Text.",,,BT-33,$.invoice.seller.sellerAdditionalLegalInformation,,Seller,SellerAdditionalLegalInformation,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerAdditionalLegalInformation
42,en16931,3,A,,Seller electronic address,Identifier,0..1,,"Project-defined Seller electronic address in the Seller context, represented as Identifier.",,,BT-34,$.invoice.seller.sellerElectronicAddress,,Seller,SellerElectronicAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerElectronicAddress
43,en16931,3,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Seller context, represented as Identifier.",識別スキーム識別子,売手電子アドレスに使用される識別スキームを示す識別子。,BT-34-1,$.invoice.seller.sellerElectronicAddressSchemeIdentifier,,Seller,SellerElectronicAddressSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerElectronicAddressSchemeIdentifier
44,en16931,3,C,,Seller postal address,,1..1,,"Project-defined Seller postal address in the Seller postal address context, represented as structured information.",,,BG-5,$.invoice.seller.sellerPostalAddress,,Seller postal address,SellerPostalAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress
45,en16931,4,A,,Seller address line 1,Text,0..1,,"Project-defined Seller address line 1 in the Seller postal address context, represented as Text.",,,BT-35,$.invoice.seller.sellerPostalAddress.sellerAddressLine1,,Seller postal address,SellerAddressLine1,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine1
46,en16931,4,A,,Seller address line 2,Text,0..1,,"Project-defined Seller address line 2 in the Seller postal address context, represented as Text.",,,BT-36,$.invoice.seller.sellerPostalAddress.sellerAddressLine2,,Seller postal address,SellerAddressLine2,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine2
47,en16931,4,A,,Seller address line 3,Text,0..1,,"Project-defined Seller address line 3 in the Seller postal address context, represented as Text.",,,BT-162,$.invoice.seller.sellerPostalAddress.sellerAddressLine3,,Seller postal address,SellerAddressLine3,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerAddressLine3
48,en16931,4,A,,Seller city,Text,1..1,,"Project-defined Seller city in the Seller postal address context, represented as Text.",,,BT-37,$.invoice.seller.sellerPostalAddress.sellerCity,,Seller postal address,SellerCity,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCity
49,en16931,4,A,,Seller post code,Text,1..1,,"Project-defined Seller post code in the Seller postal address context, represented as Text.",,,BT-38,$.invoice.seller.sellerPostalAddress.sellerPostCode,,Seller postal address,SellerPostCode,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerPostCode
50,en16931,4,A,,Seller country subdivision,Text,0..1,,"Project-defined Seller country subdivision in the Seller postal address context, represented as Text.",,,BT-39,$.invoice.seller.sellerPostalAddress.sellerCountrySubdivision,,Seller postal address,SellerCountrySubdivision,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCountrySubdivision
51,en16931,4,A,,Seller country code,Code,1..1,,"Project-defined Seller country code in the Seller postal address context, represented as Code.",,,BT-40,$.invoice.seller.sellerPostalAddress.sellerCountryCode,,Seller postal address,SellerCountryCode,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerPostalAddress/en:SellerCountryCode
52,en16931,3,C,,Seller contact,,0..1,,"Project-defined Seller contact in the Seller contact context, represented as structured information.",,,BG-6,$.invoice.seller.sellerContact,,Seller contact,SellerContact,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact
53,en16931,4,A,,Seller contact point,Text,0..1,,"Project-defined Seller contact point in the Seller contact context, represented as Text.",,,BT-41,$.invoice.seller.sellerContact.sellerContactPoint,,Seller contact,SellerContactPoint,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactPoint
54,en16931,4,A,,Seller contact telephone number,Text,0..1,,"Project-defined Seller contact telephone number in the Seller contact context, represented as Text.",,,BT-42,$.invoice.seller.sellerContact.sellerContactTelephoneNumber,,Seller contact,SellerContactTelephoneNumber,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactTelephoneNumber
55,en16931,4,A,,Seller contact email address,Text,0..1,,"Project-defined Seller contact email address in the Seller contact context, represented as Text.",,,BT-43,$.invoice.seller.sellerContact.sellerContactEmailAddress,,Seller contact,SellerContactEmailAddress,/xbrli:xbrl/en:Invoice/en:Seller/en:SellerContact/en:SellerContactEmailAddress
56,en16931,2,C,,Buyer,,1..1,,"Project-defined Buyer in the Buyer context, represented as structured information.",,,BG-7,$.invoice.buyer,,Buyer,Buyer,/xbrli:xbrl/en:Invoice/en:Buyer
57,en16931,3,A,,Buyer name,Text,1..1,,"Project-defined Buyer name in the Buyer context, represented as Text.",,,BT-44,$.invoice.buyer.buyerName,,Buyer,BuyerName,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerName
58,en16931,3,A,,Buyer trading name,Text,0..1,,"Project-defined Buyer trading name in the Buyer context, represented as Text.",,,BT-45,$.invoice.buyer.buyerTradingName,,Buyer,BuyerTradingName,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerTradingName
59,en16931,3,C,,Buyer Identifier,,0..*,,"Project-defined Buyer Identifier in the Buyer Identifier context, represented as structured information.",,,,$.invoice.buyer.buyerIdentifier,,Buyer Identifier,BuyerIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerIdentifier
60,en16931,4,A,,Identifier,Identifier,1..1,,"Project-defined Identifier in the Buyer Identifier context, represented as Identifier.",buyerIdentifier,,BT-46,$.invoice.buyer.buyerIdentifier.identifier,,Buyer Identifier,BuyerIdentifierIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerIdentifier/en:BuyerIdentifierIdentifier
61,en16931,4,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Buyer Identifier context, represented as Identifier.",識別スキーム識別子,買手識別子に使用される識別スキームを示す識別子。,BT-46-1,$.invoice.buyer.buyerIdentifier.schemeIdentifier,,Buyer Identifier,BuyerIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerIdentifier/en:BuyerIdentifierSchemeIdentifier
62,en16931,3,A,,Buyer legal registration identifier,Identifier,0..1,,"Project-defined Buyer legal registration identifier in the Buyer context, represented as Identifier.",,,BT-47,$.invoice.buyer.buyerLegalRegistrationIdentifier,,Buyer,BuyerLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerLegalRegistrationIdentifier
63,en16931,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",識別スキーム識別子,買手法的登録識別子に使用される識別スキームを示す識別子。,BT-47-1,$.invoice.buyer.buyerLegalRegistrationIdentifierSchemeIdentifier,,Buyer,BuyerLegalRegistrationIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerLegalRegistrationIdentifierSchemeIdentifier
64,en16931,3,A,,Buyer VAT identifier,Identifier,0..1,,"Project-defined Buyer VAT identifier in the Buyer context, represented as Identifier.",,,BT-48,$.invoice.buyer.buyerVatIdentifier,,Buyer,BuyerVatIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerVatIdentifier
65,en16931,3,A,,Buyer electronic address,Identifier,0..1,,"Project-defined Buyer electronic address in the Buyer context, represented as Identifier.",,,BT-49,$.invoice.buyer.buyerElectronicAddress,,Buyer,BuyerElectronicAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerElectronicAddress
66,en16931,3,A,,Scheme identifier,Identifier,1..1,,"Project-defined Scheme identifier in the Buyer context, represented as Identifier.",識別スキーム識別子,買手電子アドレスに使用される識別スキームを示す識別子。,BT-49-1,$.invoice.buyer.buyerElectronicAddressSchemeIdentifier,,Buyer,BuyerElectronicAddressSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerElectronicAddressSchemeIdentifier
67,en16931,3,C,,Buyer postal address,,1..1,,"Project-defined Buyer postal address in the Buyer postal address context, represented as structured information.",,,BG-8,$.invoice.buyer.buyerPostalAddress,,Buyer postal address,BuyerPostalAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress
68,en16931,4,A,,Buyer address line 1,Text,0..1,,"Project-defined Buyer address line 1 in the Buyer postal address context, represented as Text.",,,BT-50,$.invoice.buyer.buyerPostalAddress.buyerAddressLine1,,Buyer postal address,BuyerAddressLine1,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine1
69,en16931,4,A,,Buyer address line 2,Text,0..1,,"Project-defined Buyer address line 2 in the Buyer postal address context, represented as Text.",,,BT-51,$.invoice.buyer.buyerPostalAddress.buyerAddressLine2,,Buyer postal address,BuyerAddressLine2,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine2
70,en16931,4,A,,Buyer address line 3,Text,0..1,,"Project-defined Buyer address line 3 in the Buyer postal address context, represented as Text.",,,BT-163,$.invoice.buyer.buyerPostalAddress.buyerAddressLine3,,Buyer postal address,BuyerAddressLine3,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerAddressLine3
71,en16931,4,A,,Buyer city,Text,1..1,,"Project-defined Buyer city in the Buyer postal address context, represented as Text.",,,BT-52,$.invoice.buyer.buyerPostalAddress.buyerCity,,Buyer postal address,BuyerCity,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCity
72,en16931,4,A,,Buyer post code,Text,1..1,,"Project-defined Buyer post code in the Buyer postal address context, represented as Text.",,,BT-53,$.invoice.buyer.buyerPostalAddress.buyerPostCode,,Buyer postal address,BuyerPostCode,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerPostCode
73,en16931,4,A,,Buyer country subdivision,Text,0..1,,"Project-defined Buyer country subdivision in the Buyer postal address context, represented as Text.",,,BT-54,$.invoice.buyer.buyerPostalAddress.buyerCountrySubdivision,,Buyer postal address,BuyerCountrySubdivision,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCountrySubdivision
74,en16931,4,A,,Buyer country code,Code,1..1,,"Project-defined Buyer country code in the Buyer postal address context, represented as Code.",,,BT-55,$.invoice.buyer.buyerPostalAddress.buyerCountryCode,,Buyer postal address,BuyerCountryCode,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerPostalAddress/en:BuyerCountryCode
75,en16931,3,C,,Buyer contact,,0..1,,"Project-defined Buyer contact in the Buyer contact context, represented as structured information.",,,BG-9,$.invoice.buyer.buyerContact,,Buyer contact,BuyerContact,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact
76,en16931,4,A,,Buyer contact point,Text,0..1,,"Project-defined Buyer contact point in the Buyer contact context, represented as Text.",,,BT-56,$.invoice.buyer.buyerContact.buyerContactPoint,,Buyer contact,BuyerContactPoint,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactPoint
77,en16931,4,A,,Buyer contact telephone number,Text,0..1,,"Project-defined Buyer contact telephone number in the Buyer contact context, represented as Text.",,,BT-57,$.invoice.buyer.buyerContact.buyerContactTelephoneNumber,,Buyer contact,BuyerContactTelephoneNumber,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactTelephoneNumber
78,en16931,4,A,,Buyer contact email address,Text,0..1,,"Project-defined Buyer contact email address in the Buyer contact context, represented as Text.",,,BT-58,$.invoice.buyer.buyerContact.buyerContactEmailAddress,,Buyer contact,BuyerContactEmailAddress,/xbrli:xbrl/en:Invoice/en:Buyer/en:BuyerContact/en:BuyerContactEmailAddress
79,en16931,2,C,,Payee,,0..1,,"Project-defined Payee in the Payee context, represented as structured information.",,,BG-10,$.invoice.payee,,Payee,Payee,/xbrli:xbrl/en:Invoice/en:Payee
80,en16931,3,A,,Payee name,Text,1..1,,"Project-defined Payee name in the Payee context, represented as Text.",,,BT-59,$.invoice.payee.payeeName,,Payee,PayeeName,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeName
81,en16931,3,A,,Payee identifier,Identifier,0..1,,"Project-defined Payee identifier in the Payee context, represented as Identifier.",,,BT-60,$.invoice.payee.payeeIdentifier,,Payee,PayeeIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeIdentifier
82,en16931,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",識別スキーム識別子,受取人識別子に使用される識別スキームを示す識別子。,BT-60-1,$.invoice.payee.payeeIdentifierSchemeIdentifier,,Payee,PayeeIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeIdentifierSchemeIdentifier
83,en16931,3,A,,Payee legal registration identifier,Identifier,0..1,,"Project-defined Payee legal registration identifier in the Payee context, represented as Identifier.",,,BT-61,$.invoice.payee.payeeLegalRegistrationIdentifier,,Payee,PayeeLegalRegistrationIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeLegalRegistrationIdentifier
84,en16931,3,A,,Scheme identifier,Identifier,0..1,,"Project-defined Scheme identifier in the Payee context, represented as Identifier.",識別スキーム識別子,受取人法的登録識別子に使用される識別スキームを示す識別子。,BT-61-1,$.invoice.payee.payeeLegalRegistrationIdentifierSchemeIdentifier,,Payee,PayeeLegalRegistrationIdentifierSchemeIdentifier,/xbrli:xbrl/en:Invoice/en:Payee/en:PayeeLegalRegistrationIdentifierSchemeIdentifier
85,en16931,2,C,,Seller tax representative party,,0..1,,"Project-defined Seller tax representative party in the Seller tax representative party context, represented as structured information.",,,BG-11,$.invoice.sellerTaxRepresentativeParty,,Seller tax representative party,SellerTaxRepresentativeParty,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty
86,en16931,3,A,,Seller tax representative name,Text,1..1,,"Project-defined Seller tax representative name in the Seller tax representative party context, represented as Text.",,,BT-62,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,,Seller tax representative party,SellerTaxRepresentativeName,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativeName
87,en16931,3,A,,Seller tax representative VAT identifier,Identifier,1..1,,"Project-defined Seller tax representative VAT identifier in the Seller tax representative party context, represented as Identifier.",,,BT-63,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,,Seller tax representative party,SellerTaxRepresentativeVatIdentifier,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativeVatIdentifier
88,en16931,3,C,,Seller tax representative postal address,,1..1,,"Project-defined Seller tax representative postal address in the Seller tax representative postal address context, represented as structured information.",,,BG-12,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,,Seller tax representative postal address,SellerTaxRepresentativePostalAddress,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress
89,en16931,4,A,,Tax representative address line 1,Text,0..1,,"Project-defined Tax representative address line 1 in the Seller tax representative postal address context, represented as Text.",,,BT-64,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,,Seller tax representative postal address,TaxRepresentativeAddressLine1,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeAddressLine1
90,en16931,4,A,,Tax representative address line 2,Text,0..1,,"Project-defined Tax representative address line 2 in the Seller tax representative postal address context, represented as Text.",,,BT-65,$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,,Seller tax representative postal address,TaxRepresentativeAddressLine2,/xbrli:xbrl/en:Invoice/en:SellerTaxRepresentativeParty/en:SellerTaxRepresentativePostalAddress/en:TaxRepresentativeAddressLine2
